GeneID,Chr,Start,End,annotation,pan_anno,y_anno,Strand
Gm26901_22,chr1,7397926,7398325,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Rrs1_23,chr1,9545122,9545521,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm6161_24,chr1,9573288,9573687,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Vxn_25,chr1,9592050,9592449,"Intron(NR_015470.1/2610203C22Rik,intron3of4)",OtherIntron,OtherIntron,.
Vxn_26,chr1,9615598,9615997,"Intron(NM_178399.4/Vxn,intron3of5)",OtherIntron,OtherIntron,.
2610203C22Rik_27,chr1,9621502,9621901,"Intron(NM_178399.4/Vxn,intron4of5)",OtherIntron,OtherIntron,.
2610203C22Rik_28,chr1,9629984,9630383,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
2610203C22Rik_29,chr1,9638855,9639254,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Mybl1_30,chr1,9674008,9674407,"Intron(XM_011238350.2/Mybl1,intron5of10)",OtherIntron,OtherIntron,.
Mybl1_31,chr1,9700388,9700787,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Vcpip1_32,chr1,9748289,9748688,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm39590_33,chr1,9772792,9773191,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Sgk3_34,chr1,9797392,9797791,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm6195_35,chr1,9805631,9806030,"Intron(NM_133220.2/Sgk3,intron1of17)",1stIntron,1stIntron,.
Gm6195_36,chr1,9815789,9816188,"Intron(NM_133220.2/Sgk3,intron1of17)",1stIntron,1stIntron,.
Gm6195_37,chr1,9822828,9823227,"Intron(NM_133220.2/Sgk3,intron1of17)",1stIntron,1stIntron,.
Sgk3_38,chr1,9841740,9842139,"Intron(NM_133220.2/Sgk3,intron2of17)",OtherIntron,OtherIntron,.
Sgk3_39,chr1,9848163,9848562,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Sgk3_40,chr1,9851017,9851416,Promoter(2-3kb),Promoter(2-3kb),Promoter(2-3kb),.
Sgk3_41,chr1,9859268,9859667,"Intron(NM_133220.2/Sgk3,intron2of17)",OtherIntron,OtherIntron,.
Sgk3_42,chr1,9865356,9865755,"Intron(NM_133220.2/Sgk3,intron3of17)",OtherIntron,OtherIntron,.
Gm2352_43,chr1,9876793,9877192,"Exon(NM_133220.2/Sgk3,exon7of18)",OtherExon,OtherExon,.
Gm2352_44,chr1,9878159,9878558,"Intron(NM_133220.2/Sgk3,intron7of17)",OtherIntron,OtherIntron,.
Gm2352_45,chr1,9881494,9881893,"Exon(NM_133220.2/Sgk3,exon10of18)",OtherExon,OtherExon,.
Gm2352_46,chr1,9885869,9886268,"Exon(NM_133220.2/Sgk3,exon15of18)",OtherExon,OtherExon,.
Gm2352_47,chr1,9898369,9898768,"Exon(NM_133220.2/Sgk3,exon18of18)",OtherExon,OtherExon,.
Mcmdc2_48,chr1,9906961,9907360,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Snhg6_49,chr1,9943940,9944339,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Snhg6_50,chr1,9953624,9954023,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Tcf24_51,chr1,9967858,9968257,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Tcf24_52,chr1,9983029,9983428,"Intron(NM_145692.2/Ppp1r42,intron6of8)",OtherIntron,OtherIntron,.
Ppp1r42_53,chr1,9991809,9992208,"Intron(NM_145692.2/Ppp1r42,intron5of8)",OtherIntron,OtherIntron,.
Ppp1r42_54,chr1,9997554,9997953,"Intron(NM_145692.2/Ppp1r42,intron4of8)",OtherIntron,OtherIntron,.
Ppp1r42_55,chr1,10007224,10007623,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Cops5_56,chr1,10037853,10038252,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Cspp1_57,chr1,10039668,10040067,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Arfgef1_58,chr1,10220120,10220519,"Intron(NM_001102430.1/Arfgef1,intron1of37)",1stIntron,1stIntron,.
Arfgef1_59,chr1,10225575,10225974,"Intron(NM_001102430.1/Arfgef1,intron1of37)",1stIntron,1stIntron,.
Arfgef1_60,chr1,10232863,10233262,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Arfgef1_61,chr1,10252090,10252489,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Arfgef1_62,chr1,10269061,10269460,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Arfgef1_63,chr1,10280146,10280545,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Arfgef1_64,chr1,10286547,10286946,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Sulf1_65,chr1,12707576,12707975,"Intron(XM_006495510.4/Sulf1,intron1of20)",1stIntron,1stIntron,.
Sulf1_66,chr1,12718802,12719201,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Sulf1_67,chr1,12729285,12729684,"Intron(XM_006495510.4/Sulf1,intron2of20)",OtherIntron,OtherIntron,.
Sulf1_68,chr1,12744509,12744908,"Intron(XM_006495510.4/Sulf1,intron2of20)",OtherIntron,OtherIntron,.
Sulf1_69,chr1,12748512,12748911,"Intron(XM_006495510.4/Sulf1,intron2of20)",OtherIntron,OtherIntron,.
Sulf1_70,chr1,12754637,12755036,"Intron(XM_006495510.4/Sulf1,intron2of20)",OtherIntron,OtherIntron,.
Sulf1_71,chr1,12836752,12837151,"Intron(XM_006495510.4/Sulf1,intron13of20)",OtherIntron,OtherIntron,.
Sulf1_72,chr1,12841399,12841798,"Exon(XM_006495510.4/Sulf1,exon17of21)",OtherExon,OtherExon,.
Sulf1_73,chr1,12865155,12865554,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Sulf1_74,chr1,12875563,12875962,"Intron(NM_172841.2/Slco5a1,intron8of8)",OtherIntron,OtherIntron,.
Slco5a1_75,chr1,12983216,12983615,"Intron(NM_172841.2/Slco5a1,intron1of8)",1stIntron,1stIntron,.
Slco5a1_76,chr1,12992424,12992823,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Slco5a1_77,chr1,13002136,13002535,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm5250_78,chr1,13052270,13052669,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Prdm14_79,chr1,13151150,13151549,"Intron(NM_001302702.1/Ncoa2,intron17of21)",OtherIntron,OtherIntron,.
Ncoa2_80,chr1,13223282,13223681,"Intron(NM_001302702.1/Ncoa2,intron3of21)",OtherIntron,OtherIntron,.
Ncoa2_81,chr1,13243741,13244140,"Intron(NM_001302702.1/Ncoa2,intron2of21)",OtherIntron,OtherIntron,.
Ncoa2_82,chr1,13267370,13267769,"Intron(NM_001302702.1/Ncoa2,intron2of21)",OtherIntron,OtherIntron,.
Ncoa2_83,chr1,13293322,13293721,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Ncoa2_84,chr1,13301695,13302094,"Intron(NM_001302702.1/Ncoa2,intron1of21)",1stIntron,1stIntron,.
Ncoa2_85,chr1,13303676,13304075,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Gm23169_86,chr1,13328401,13328800,"Intron(NM_001302702.1/Ncoa2,intron1of21)",1stIntron,1stIntron,.
Gm23169_87,chr1,13336105,13336504,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Ncoa2_88,chr1,13360574,13360973,"Intron(NM_001302702.1/Ncoa2,intron1of21)",1stIntron,1stIntron,.
Ncoa2_89,chr1,13372434,13372833,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm51852_90,chr1,13383445,13383844,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm7593_91,chr1,13405226,13405625,Promoter(2-3kb),Promoter(2-3kb),Promoter(2-3kb),.
Gm39595_92,chr1,13426491,13426890,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm39600_93,chr1,13454555,13454954,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Tram1_94,chr1,13513786,13514185,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Tram1_95,chr1,13520940,13521339,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Tram1_96,chr1,13531485,13531884,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Tram1_97,chr1,13559425,13559824,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Tram1_98,chr1,13574054,13574453,"Intron(NM_028173.5/Tram1,intron6of10)",OtherIntron,OtherIntron,.
Tram1_99,chr1,13589533,13589932,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Tram1_100,chr1,13593453,13593852,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Tram1_101,chr1,13599863,13600262,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Lactb2_102,chr1,13660332,13660731,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Xkr9_103,chr1,13688826,13689225,"Intron(XM_006495548.3/Xkr9,intron2of2)",OtherIntron,OtherIntron,.
Gm26273_104,chr1,13747280,13747679,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm5523_105,chr1,13789235,13789634,Promoter(2-3kb),Promoter(2-3kb),Promoter(2-3kb),.
Gm31195_106,chr1,13824862,13825261,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm31195_107,chr1,13834848,13835247,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm39596_108,chr1,13980274,13980673,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm39596_109,chr1,13984865,13985264,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm39596_110,chr1,14143904,14144303,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm39596_111,chr1,14156126,14156525,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Eya1_112,chr1,14181891,14182290,"Intron(XM_017315348.2/Eya1,intron15of16)",OtherIntron,OtherIntron,.
Eya1_113,chr1,14196579,14196978,"Intron(XM_017315348.2/Eya1,intron11of16)",OtherIntron,OtherIntron,.
Eya1_114,chr1,14307027,14307426,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Eya1_115,chr1,14309698,14310097,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm7617_116,chr1,14506447,14506846,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm7617_117,chr1,14595973,14596372,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Msc_118,chr1,14686491,14686890,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Msc_119,chr1,14691572,14691971,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm51616_120,chr1,15544215,15544614,"Intron(NM_001098528.3/Kcnb2,intron2of2)",OtherIntron,OtherIntron,.
Terf1_121,chr1,15805426,15805825,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Rpl7_122,chr1,16104628,16105027,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
C130013N14Rik_123,chr1,16344929,16345328,3'UTR,3'UTR,3'UTR,.
Stau2_124,chr1,16518641,16519040,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Stau2_125,chr1,16533999,16534398,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Ube2w_126,chr1,16619102,16619501,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Eloc_127,chr1,16637646,16638045,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Eloc_128,chr1,16656864,16657263,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Tmem70_129,chr1,16665020,16665419,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Ly96_130,chr1,16688247,16688646,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm5828_131,chr1,16747266,16747665,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm5828_132,chr1,16758887,16759286,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm5828_133,chr1,16798250,16798649,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm46085_134,chr1,16938191,16938590,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm46085_135,chr1,16945355,16945754,"Intron(XR_001785237.2/Jph1,intron5of6)",OtherIntron,OtherIntron,.
Gm46085_136,chr1,16968432,16968831,"Intron(XR_001785237.2/Jph1,intron5of6)",OtherIntron,OtherIntron,.
Gm46085_137,chr1,17008660,17009059,"Intron(XR_001785237.2/Jph1,intron3of6)",OtherIntron,OtherIntron,.
Gm46085_138,chr1,17077098,17077497,"Intron(XR_001785237.2/Jph1,intron2of6)",OtherIntron,OtherIntron,.
Gm46085_139,chr1,17097639,17098038,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Jph1_140,chr1,17103781,17104180,"Exon(XR_373223.3/Gm31982,exon2of4)",OtherExon,OtherExon,.
Gm31982_141,chr1,17123370,17123769,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Mcm3_142,chr1,20820188,20820587,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
6720483E21Rik_143,chr1,20890379,20890778,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Paqr8_144,chr1,20933464,20933863,"Intron(NM_028829.4/Paqr8,intron2of2)",OtherIntron,OtherIntron,.
Efhc1_145,chr1,20951457,20951856,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm51618_146,chr1,20986520,20986919,"Intron(XR_003946579.1/Efhc1,intron9of10)",OtherIntron,OtherIntron,.
Gm51618_147,chr1,21014459,21014858,"Intron(NM_177409.3/Tram2,intron2of10)",OtherIntron,OtherIntron,.
Gm51618_148,chr1,21018542,21018941,"Intron(NM_177409.3/Tram2,intron2of10)",OtherIntron,OtherIntron,.
Tram2_149,chr1,21079129,21079528,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Tmem14a_150,chr1,21218534,21218933,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm21909_151,chr1,21333587,21333986,"Exon(Gm21909/Gm21909,exon1of1)",1stExon,1stExon,.
Khdc1b_152,chr1,21425676,21426075,"Intron(XM_011238368.1/Kcnq5,intron10of13)",OtherIntron,OtherIntron,.
Kcnq5_153,chr1,21586259,21586658,"Intron(XM_011238368.1/Kcnq5,intron2of13)",OtherIntron,OtherIntron,.
Kcnq5_154,chr1,21618779,21619178,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_155,chr1,21634009,21634408,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_156,chr1,21646273,21646672,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_157,chr1,21650809,21651208,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_158,chr1,21780987,21781386,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_159,chr1,21787474,21787873,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_160,chr1,21829969,21830368,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_161,chr1,21856275,21856674,"Intron(NM_001310477.1/Kcnq5,intron1of12)",1stIntron,1stIntron,.
Kcnq5_162,chr1,21960457,21960856,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Kcnq5_163,chr1,21963280,21963679,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm5696_164,chr1,22271503,22271902,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm24176_165,chr1,23256081,23256480,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Ogfrl1_166,chr1,23380096,23380495,Promoter(2-3kb),Promoter(2-3kb),Promoter(2-3kb),.
Ogfrl1_167,chr1,23383206,23383605,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
B3gat2_168,chr1,23720656,23721055,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
B3gat2_169,chr1,23827189,23827588,"Intron(NM_172124.2/B3gat2,intron2of3)",OtherIntron,OtherIntron,.
B3gat2_170,chr1,23834181,23834580,"Intron(NM_172124.2/B3gat2,intron2of3)",OtherIntron,OtherIntron,.
Smap1_171,chr1,23922042,23922441,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Smap1_172,chr1,23935243,23935642,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm53062_173,chr1,23958981,23959380,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm53062_174,chr1,23983100,23983499,"Intron(XR_865295.2/Gm53062,intron3of4)",OtherIntron,OtherIntron,.
Sdhaf4_175,chr1,23999344,23999743,"Exon(XR_865295.2/Gm53062,exon5of5)",OtherExon,OtherExon,.
Sdhaf4_176,chr1,24005379,24005778,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Fam135a_177,chr1,24045673,24046072,"Intron(NM_026604.4/Fam135a,intron10of20)",OtherIntron,OtherIntron,.
Fam135a_178,chr1,24046719,24047118,"Intron(NM_026604.4/Fam135a,intron9of20)",OtherIntron,OtherIntron,.
Fam135a_179,chr1,24100096,24100495,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Lmbrd1_180,chr1,24678400,24678799,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Lmbrd1_181,chr1,24699358,24699757,"Intron(XM_017322292.2/Lmbrd1,intron3of15)",OtherIntron,OtherIntron,.
Gm2914_182,chr1,30792905,30793304,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Phf3_183,chr1,30873609,30874008,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Ptp4a1_184,chr1,30920815,30921214,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
LOC115487084_185,chr1,30949615,30950014,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Prim2_186,chr1,33551342,33551741,"Intron(NM_008922.2/Prim2,intron7of13)",OtherIntron,OtherIntron,.
Prim2_187,chr1,33578588,33578987,"Intron(NM_008922.2/Prim2,intron7of13)",OtherIntron,OtherIntron,.
Prim2_188,chr1,33595899,33596298,"Intron(NM_008922.2/Prim2,intron7of13)",OtherIntron,OtherIntron,.
1700001G17Rik_189,chr1,33669696,33670095,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm32229_190,chr1,33719742,33720141,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Bag2_191,chr1,33739280,33739679,3'UTR,3'UTR,3'UTR,.
Bag2_192,chr1,33757519,33757918,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Zfp451_193,chr1,33814288,33814687,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm38471_194,chr1,33883348,33883747,5'UTR,5'UTR,5'UTR,.
Dst_195,chr1,34005695,34006094,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Dst_196,chr1,34011207,34011606,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Dst_197,chr1,34220193,34220592,"Intron(XM_006495666.4/Dst,intron57of102)",OtherIntron,OtherIntron,.
Gm5266_198,chr1,34389036,34389435,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Mir5103_199,chr1,34409770,34410169,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
n-TEttc1_200,chr1,34434751,34435150,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Ccdc115_201,chr1,34439513,34439912,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Ptpn18_202,chr1,34458352,34458751,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Ptpn18_203,chr1,34459565,34459964,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Gm32504_204,chr1,34462871,34463270,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Gm32504_205,chr1,34464518,34464917,"Intron(XM_006495800.4/Ptpn18,intron5of14)",OtherIntron,OtherIntron,.
Gm32566_206,chr1,34472689,34473088,"Exon(XM_006495800.4/Ptpn18,exon13of15)",OtherExon,OtherExon,.
Gm32566_207,chr1,34479073,34479472,"Intron(XR_003947765.1/4930568A12Rik,intron4of4)",OtherIntron,OtherIntron,.
Gm32566_208,chr1,34485763,34486162,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Prss39_209,chr1,34491785,34492184,"Intron(XR_003947765.1/4930568A12Rik,intron1of4)",1stIntron,1stIntron,.
4930568A12Rik_210,chr1,34510623,34511022,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Amer3_211,chr1,34600005,34600404,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Amer3_212,chr1,34602297,34602696,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Arhgef4_213,chr1,34801548,34801947,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Fam168b_214,chr1,34827967,34828366,"Intron(NM_001160235.1/Fam168b,intron3of7)",OtherIntron,OtherIntron,.
Fam168b_215,chr1,34838786,34839185,"Intron(NM_001160235.1/Fam168b,intron1of7)",1stIntron,1stIntron,.
Fam168b_216,chr1,34842920,34843319,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Plekhb2_217,chr1,34849872,34850271,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Plekhb2_218,chr1,34858686,34859085,"Intron(NM_175421.1/Plekhb2,intron1of6)",1stIntron,1stIntron,.
Gm19430_219,chr1,34867202,34867601,"Intron(NM_175421.1/Plekhb2,intron6of6)",OtherIntron,OtherIntron,.
Gm19430_220,chr1,34896856,34897255,"Intron(Gm19430/Gm19430,intron1of1)",1stIntron,1stIntron,.
Gm25634_221,chr1,35580467,35580866,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_222,chr1,35590594,35590993,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_223,chr1,35611950,35612349,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_224,chr1,35619508,35619907,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_225,chr1,35627711,35628110,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_226,chr1,35653300,35653699,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_227,chr1,35656506,35656905,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_228,chr1,35673845,35674244,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_229,chr1,35685646,35686045,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_230,chr1,35765672,35766071,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm25634_231,chr1,35813663,35814062,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
1110002O04Rik_232,chr1,35822352,35822751,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
1110002O04Rik_233,chr1,35826584,35826983,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
1110002O04Rik_234,chr1,35839447,35839846,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
1110002O04Rik_235,chr1,35860759,35861158,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
1110002O04Rik_236,chr1,35869746,35870145,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
1110002O04Rik_237,chr1,35890338,35890737,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm33222_238,chr1,35998815,35999214,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm33222_239,chr1,36013690,36014089,Promoter(2-3kb),Promoter(2-3kb),Promoter(2-3kb),.
Gm39624_240,chr1,36052620,36053019,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Gm39624_241,chr1,36064840,36065239,Promoter(1-2kb),Promoter(1-2kb),Promoter(1-2kb),.
Hs6st1_242,chr1,36068119,36068518,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
Hs6st1_243,chr1,36088479,36088878,"Intron(NM_015818.2/Hs6st1,intron1of1)",1stIntron,1stIntron,.
Hs6st1_244,chr1,36095833,36096232,"Intron(NM_015818.2/Hs6st1,intron1of1)",1stIntron,1stIntron,.
Gm33280_245,chr1,36129072,36129471,Promoter(2-3kb),Promoter(2-3kb),Promoter(2-3kb),.
Mir6897_246,chr1,36137983,36138382,DistalIntergenic,DistalIntergenic,DistalIntergenic,.
Uggt1_247,chr1,36230940,36231339,"Intron(NM_198899.2/Uggt1,intron2of40)",OtherIntron,OtherIntron,.
Uggt1_248,chr1,36235200,36235599,"Intron(NM_198899.2/Uggt1,intron1of40)",1stIntron,1stIntron,.
Gm39625_249,chr1,36244110,36244509,Promoter(<=1kb),Promoter(<=1kb),Promoter(<=1kb),.
