ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0042060	GO:0042060	wound healing	27/517	370/28891	8.88631216077952e-10	3.08560100721221e-07	2.10393334073841e-07	Anxa2/Sdc4/Pear1/Pdia3/Plaur/Fzd6/Ppl/Anxa1/B4galt1/Il6ra/Pip5k1c/Hpse/St3gal4/Cd36/Serpine2/Cxcr4/Tpm1/Fcer1g/Ceacam1/Itgb1/Tbxa2r/Axl/Smad3/Clasp2/Tlr4/Mfsd2b/Ptger4	27
GO:0007162	GO:0007162	negative regulation of cell adhesion	24/517	315/28891	3.31542724500835e-09	1.06898847028341e-06	7.28895433413865e-07	H2-Aa/Cd74/Sdc4/Rgcc/Ass1/Lgals1/Lgals3/Adora2a/Anxa1/Pdcd1lg2/Tacstd2/Serpine2/Ceacam1/Runx3/Plxnb2/Hspg2/Adam8/Sema4d/Clasp2/Runx1/Smad7/Plxna1/Erbb3/Plxna3	24
GO:0042063	GO:0042063	gliogenesis	27/517	397/28891	4.07374877162811e-09	1.13226691669331e-06	7.72042176249618e-07	Nrros/Dusp10/Atxn1/Trf/B4galt5/Grn/Adora2a/Anxa1/Gpr183/P2rx4/Clcf1/Zeb2/Serpine2/Cxcr4/Hexb/Nab1/Dag1/Ptpra/Id2/Nfix/Cdkn2b/Tlr2/Nab2/C1qa/Erbb3/Tenm4/Tlr4	27
GO:0070661	GO:0070661	leukocyte proliferation	28/517	425/28891	4.21864710083524e-09	1.13226691669331e-06	7.72042176249618e-07	H2-Aa/Cd74/Sdc4/H2-DMb2/Lgals3/Junb/Tyrobp/Csf2rb/Ccr7/Cd209a/Fosl2/Anxa1/Ccnd3/Pdcd1lg2/Gpr183/Ripk3/Clcf1/Impdh1/Cxcr4/Ceacam1/Ifnar2/Cd40/Tnfsf9/Tgfbr2/Nfix/Sh3rf1/Tlr4/Il9r	28
GO:0007599	GO:0007599	hemostasis	18/517	179/28891	4.264186438588e-09	1.13226691669331e-06	7.72042176249618e-07	Anxa2/Pear1/Pdia3/Plaur/Fzd6/Il6ra/Pip5k1c/Zfp385a/Hpse/St3gal4/Cd36/Serpine2/Fcer1g/Ceacam1/Tbxa2r/Axl/Tlr4/Mfsd2b	18
GO:0002285	GO:0002285	lymphocyte activation involved in immune response	20/517	227/28891	5.90342794036514e-09	1.48044854015601e-06	1.00945165483203e-06	Cd74/H2-DMb2/Lgals1/Lgals3/Lfng/Ccr7/Anxa1/Aicda/Sema4a/Gpr183/Il6ra/Clcf1/Gadd45g/Fcer1g/Cd40/Dock10/Nbn/Smad7/Tlr4/Ptger4	20
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	25/517	354/28891	7.2660992054741e-09	1.72627220071106e-06	1.17706781588954e-06	H2-Ab1/H2-Aa/Cd74/Dpp4/H2-DMb2/Lgals1/H2-Eb1/Dusp10/Plaur/Ccr7/Cd209a/Anxa1/Pdcd1lg2/Hsph1/Il6ra/St3gal4/Ceacam1/Runx3/Adam8/Tnfsf9/Tgfbr2/Runx1/Smad7/Piezo1/Mfsd2b	25
GO:0043542	GO:0043542	endothelial cell migration	20/517	231/28891	7.95897567632615e-09	1.79634081014681e-06	1.22484446724093e-06	Lgmn/Dpp4/Rgcc/Grn/Anxa1/Pik3cd/Sema4a/P2rx4/Zeb2/Cxcr4/Ceacam1/Plk2/Cd40/Itgb1/Tbxa2r/Adam8/Jup/Tgfbr1/Scarb1/Rac1	20
GO:0050863	GO:0050863	regulation of T cell activation	27/517	411/28891	8.50091173573196e-09	1.82729121786162e-06	1.24594816617946e-06	H2-Ab1/H2-Aa/Cd74/Dpp4/Sdc4/H2-DMb2/Lgals1/Lgals3/H2-Eb1/Dusp10/Ccr7/Cd209a/Adora2a/Anxa1/Pdcd1lg2/Hsph1/Ripk3/Tcf7/Ceacam1/Runx3/Adam8/Tnfsf9/Tgfbr2/Sh3rf1/Runx1/Smad7/Sit1	27
GO:0002366	GO:0002366	leukocyte activation involved in immune response	24/517	333/28891	9.82041302326889e-09	2.01497019941072e-06	1.37391807081523e-06	Cd74/H2-DMb2/Cplx2/Lgals1/Lgals3/Lfng/Lat2/Tyrobp/Ccr7/Grn/Anxa1/Aicda/Sema4a/Gpr183/Il6ra/Clcf1/Gadd45g/Fcer1g/Cd40/Dock10/Nbn/Smad7/Tlr4/Ptger4	24
GO:0002263	GO:0002263	cell activation involved in immune response	24/517	337/28891	1.23694858515741e-08	2.3713747773999e-06	1.61693441436404e-06	Cd74/H2-DMb2/Cplx2/Lgals1/Lgals3/Lfng/Lat2/Tyrobp/Ccr7/Grn/Anxa1/Aicda/Sema4a/Gpr183/Il6ra/Clcf1/Gadd45g/Fcer1g/Cd40/Dock10/Nbn/Smad7/Tlr4/Ptger4	24
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	28/517	447/28891	1.26081069245896e-08	2.3713747773999e-06	1.61693441436404e-06	H2-Ab1/H2-Aa/Cd74/Dpp4/Sdc4/Ass1/H2-DMb2/Lgals1/Lgals3/H2-Eb1/Dusp10/Ccr7/Cd209a/Selplg/Adora2a/Anxa1/Pdcd1lg2/Hsph1/St3gal4/Ceacam1/Runx3/Itgb1/Adam8/Tnfsf9/Tgfbr2/Sema4d/Runx1/Smad7	28
GO:0051017	GO:0051017	actin filament bundle assembly	17/517	174/28891	1.77109385690631e-08	3.19788706803003e-06	2.18049618425012e-06	Sdc4/Rgcc/Hsp90b1/Gas7/Eps8/Marcks/Tacstd2/Zeb2/Zyx/Tpm1/Smad3/Clasp2/Actn1/Shank1/Tgfbr1/Rac1/Ptger4	17
GO:0007596	GO:0007596	blood coagulation	17/517	175/28891	1.92970573454646e-08	3.35026603297797e-06	2.28439658615946e-06	Anxa2/Pear1/Pdia3/Plaur/Fzd6/Il6ra/Pip5k1c/Hpse/St3gal4/Cd36/Serpine2/Fcer1g/Ceacam1/Tbxa2r/Axl/Tlr4/Mfsd2b	17
GO:0061572	GO:0061572	actin filament bundle organization	17/517	177/28891	2.28663990334294e-08	3.73059569241803e-06	2.54372637283546e-06	Sdc4/Rgcc/Hsp90b1/Gas7/Eps8/Marcks/Tacstd2/Zeb2/Zyx/Tpm1/Smad3/Clasp2/Actn1/Shank1/Tgfbr1/Rac1/Ptger4	17
GO:0050817	GO:0050817	coagulation	17/517	178/28891	2.48691659471386e-08	3.73059569241803e-06	2.54372637283546e-06	Anxa2/Pear1/Pdia3/Plaur/Fzd6/Il6ra/Pip5k1c/Hpse/St3gal4/Cd36/Serpine2/Fcer1g/Ceacam1/Tbxa2r/Axl/Tlr4/Mfsd2b	17
GO:0010721	GO:0010721	negative regulation of cell development	23/517	323/28891	2.4968717978248e-08	3.73059569241803e-06	2.54372637283546e-06	Cd74/Bmyc/Dusp10/Anxa1/Tmem176a/Sema4b/Sema4a/Tsc22d1/Ctnna1/Gpr137b/Ceacam1/Runx3/Tmem176b/Pira2/Id2/Sema4d/S1pr3/Cdkn2b/Runx1/Smad7/Ryk/Plxna3/Prdm16	23
GO:0006935	GO:0006935	chemotaxis	28/517	462/28891	2.55064796630562e-08	3.73059569241803e-06	2.54372637283546e-06	Cd74/Lgmn/Dpp4/Lgals3/Ccr7/Ccr9/Anxa1/Sema4b/Pik3cd/Sema4a/Gpr183/P2rx4/Cttn/Pip5k1c/Cklf/Cxcr4/Fcer1g/Ackr3/Tubb2b/Adam8/Ackr2/Rtn4rl1/Smad3/Sema4d/Pf4/Ryk/Rac1/Plxna3	28
GO:0048638	GO:0048638	regulation of developmental growth	26/517	405/28891	2.56199526949399e-08	3.73059569241803e-06	2.54372637283546e-06	Lgmn/Dusp10/Fosl2/Grn/Sema4b/Sgpl1/Sema4a/Cttn/Parp2/Cxcr4/Fto/Acacb/Adrb2/Golga4/Pim1/Trip10/Tgfbr2/Sema4d/Clasp2/Smad7/Tgfbr1/Rai1/Apc/Ryk/Plxna3/Ptger4	26
GO:0031346	GO:0031346	positive regulation of cell projection organization	28/517	463/28891	2.67027600626723e-08	3.76675809134071e-06	2.56838389550177e-06	Creb3l2/Ccr7/Grn/Xlr3b/Eps8/Marcks/Eef2k/Zeb2/Serpine2/Clip1/Plxnb2/Trak1/Tubb2b/Cdc42ep3/Itgb1/Enc1/Htt/Ngfr/Golga4/Nckipsd/Sema4d/Plxna1/Tgfbr1/Apc/Gprc5b/Rac1/Plxna3/Eps8l1	28
GO:0042330	GO:0042330	taxis	28/517	464/28891	2.79512701045625e-08	3.82339494703016e-06	2.60700203463288e-06	Cd74/Lgmn/Dpp4/Lgals3/Ccr7/Ccr9/Anxa1/Sema4b/Pik3cd/Sema4a/Gpr183/P2rx4/Cttn/Pip5k1c/Cklf/Cxcr4/Fcer1g/Ackr3/Tubb2b/Adam8/Ackr2/Rtn4rl1/Smad3/Sema4d/Pf4/Ryk/Rac1/Plxna3	28
GO:0030316	GO:0030316	osteoclast differentiation	15/517	138/28891	2.92904989187261e-08	3.88874447409205e-06	2.65156095474784e-06	Cd300lf/Junb/Klf10/Tyrobp/Trf/Fosl2/Gpr183/Gpr137b/Rassf2/Fcer1g/Ceacam1/Pira2/Adam8/Nfix/Apc	15
GO:0010632	GO:0010632	regulation of epithelial cell migration	20/517	250/28891	3.02061735395022e-08	3.89573335306608e-06	2.65632635878209e-06	Lgmn/Cd63/Rgcc/Dusp10/Grn/Anxa1/Pik3cd/Sema4a/Jun/Tacstd2/P2rx4/Ceacam1/Plk2/Cd40/Tbxa2r/Tgfbr2/Clasp2/Jup/Apc/Rac1	20
GO:0046651	GO:0046651	lymphocyte proliferation	25/517	383/28891	3.4442231722928e-08	4.31867316659159e-06	2.94471010403045e-06	H2-Aa/Cd74/Sdc4/H2-DMb2/Lgals3/Tyrobp/Ccr7/Cd209a/Fosl2/Anxa1/Ccnd3/Pdcd1lg2/Gpr183/Ripk3/Clcf1/Impdh1/Cxcr4/Ceacam1/Ifnar2/Cd40/Tnfsf9/Tgfbr2/Sh3rf1/Tlr4/Il9r	25
GO:0032943	GO:0032943	mononuclear cell proliferation	25/517	389/28891	4.65861825026909e-08	5.68351426532829e-06	3.8753342144486e-06	H2-Aa/Cd74/Sdc4/H2-DMb2/Lgals3/Tyrobp/Ccr7/Cd209a/Fosl2/Anxa1/Ccnd3/Pdcd1lg2/Gpr183/Ripk3/Clcf1/Impdh1/Cxcr4/Ceacam1/Ifnar2/Cd40/Tnfsf9/Tgfbr2/Sh3rf1/Tlr4/Il9r	25
GO:0019886	GO:0019886	antigen processing and presentation of exogenous peptide antigen via MHC class II	7/517	21/28891	5.28042961621222e-08	6.27259454936367e-06	4.27700171684336e-06	H2-Ab1/H2-Aa/Cd74/H2-DMb2/Ifi30/H2-Eb1/Fcer1g	7
GO:1901342	GO:1901342	regulation of vasculature development	22/517	311/28891	5.64682445248112e-08	6.53583732782045e-06	4.45649519542639e-06	Adm/Rgcc/Lgals3/Grn/Pik3cd/Sema4a/Btg1/Spry2/Cxcr4/Ppp1r15a/Ceacam1/Adrb2/Plk2/Cd40/Itgb1/Ecm1/Ngfr/Tbxa2r/Tgfbr2/Jup/Runx1/Ptger4	22
GO:0051251	GO:0051251	positive regulation of lymphocyte activation	24/517	367/28891	6.25619367086383e-08	7.06011455756983e-06	4.81397639305417e-06	H2-Ab1/H2-Aa/Cd74/Dpp4/H2-DMb2/Lgals1/H2-Eb1/Dusp10/Tyrobp/Ccr7/Cd209a/Anxa1/Pdcd1lg2/Hsph1/Gpr183/Clcf1/Runx3/Cd40/Adam8/Tnfsf9/Axl/Tgfbr2/Runx1/Tlr4	24
GO:0033674	GO:0033674	positive regulation of kinase activity	26/517	426/28891	7.02215598527372e-08	7.56407608998814e-06	5.15760522517672e-06	Cd74/Sdc4/Rgcc/Ccr7/Fgd2/Ccnd3/Als2/Marcks/Ripk3/Il6ra/Zeb2/Rassf2/Ceacam1/Adrb2/Dag1/Cd40/Adam8/Pim1/Axl/Nbn/Ralb/Nab2/Gprc5b/Ryk/Erbb3/Tlr4	26
GO:0042552	GO:0042552	myelination	17/517	191/28891	7.03790863490256e-08	7.56407608998814e-06	5.15760522517672e-06	Ctsc/Trf/B4galt5/Cxcr4/Hexb/Rarg/Nab1/Dag1/Myo5a/Ngfr/Mall/Tlr2/Eif2ak3/Nab2/Acer3/Erbb3/Tenm4	17
GO:0061041	GO:0061041	regulation of wound healing	14/517	128/28891	7.82379554934744e-08	8.21316583947775e-06	5.60019049848027e-06	Anxa2/Plaur/Anxa1/Hpse/St3gal4/Cd36/Serpine2/Cxcr4/Ceacam1/Itgb1/Tbxa2r/Smad3/Clasp2/Ptger4	14
GO:1903707	GO:1903707	negative regulation of hemopoiesis	14/517	129/28891	8.63439664718701e-08	8.66968785560984e-06	5.9114724459117e-06	Cd74/Bmyc/Anxa1/Tmem176a/Tsc22d1/Gpr137b/Ceacam1/Runx3/Tmem176b/Pira2/Id2/Runx1/Smad7/Prdm16	14
GO:0007272	GO:0007272	ensheathment of neurons	17/517	194/28891	8.83486135042207e-08	8.66968785560984e-06	5.9114724459117e-06	Ctsc/Trf/B4galt5/Cxcr4/Hexb/Rarg/Nab1/Dag1/Myo5a/Ngfr/Mall/Tlr2/Eif2ak3/Nab2/Acer3/Erbb3/Tenm4	17
GO:0008366	GO:0008366	axon ensheathment	17/517	194/28891	8.83486135042207e-08	8.66968785560984e-06	5.9114724459117e-06	Ctsc/Trf/B4galt5/Cxcr4/Hexb/Rarg/Nab1/Dag1/Myo5a/Ngfr/Mall/Tlr2/Eif2ak3/Nab2/Acer3/Erbb3/Tenm4	17
GO:0002696	GO:0002696	positive regulation of leukocyte activation	26/517	432/28891	9.24902144016667e-08	8.88299633636433e-06	6.05691795992102e-06	H2-Ab1/H2-Aa/Cd74/Dpp4/H2-DMb2/Lgals1/H2-Eb1/Dusp10/Tyrobp/Ccr7/Ctsc/Cd209a/Anxa1/Pdcd1lg2/Hsph1/Gpr183/Clcf1/Fcer1g/Runx3/Cd40/Adam8/Tnfsf9/Axl/Tgfbr2/Runx1/Tlr4	26
GO:0050767	GO:0050767	regulation of neurogenesis	28/517	494/28891	1.03519039190822e-07	9.73510297723685e-06	6.63793137267462e-06	Anxa2/Dusp10/Atxn1/Trf/Xlr3b/Sema4b/Sema4a/Marcks/Clcf1/Ctnna1/Eef2k/Zeb2/Serpine2/Cxcr4/Dag1/Plxnb2/Trak1/Itgb1/Ptpra/Golga4/Id2/Sema4d/Cdkn2b/Tlr2/Plxna1/Ryk/Plxna3/Tenm4	28
GO:1903034	GO:1903034	regulation of response to wounding	16/517	174/28891	1.08626253742561e-07	1.00069165182433e-05	6.82326887096129e-06	Anxa2/Plaur/Grn/Anxa1/Hpse/St3gal4/Cd36/Serpine2/Cxcr4/Ceacam1/Itgb1/Tbxa2r/Rtn4rl1/Smad3/Clasp2/Ptger4	16
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	25/517	407/28891	1.11066902644581e-07	1.00271199707528e-05	6.83704470174222e-06	H2-Ab1/H2-Aa/Cd74/Dpp4/Sdc4/Ass1/H2-DMb2/Lgals1/Lgals3/H2-Eb1/Dusp10/Ccr7/Cd209a/Adora2a/Anxa1/Pdcd1lg2/Hsph1/St3gal4/Ceacam1/Runx3/Adam8/Tnfsf9/Tgfbr2/Runx1/Smad7	25
GO:2001233	GO:2001233	regulation of apoptotic signaling pathway	26/517	437/28891	1.15881887263096e-07	1.0256683119718e-05	6.99357354710616e-06	Cd74/Dnaja1/Pdia3/Bmyc/Herpud1/Lgals3/Plaur/Ctsc/Adora2a/Ripk3/Cttn/Ctnna1/Zfp385a/Osm/Runx3/Ackr3/Bcl2l2/Htt/Ngfr/Sh3rf1/Tnfrsf23/Eif2ak3/Tgfbr1/Tmbim1/Tlr4/Il9r	26
GO:0006898	GO:0006898	receptor-mediated endocytosis	20/517	272/28891	1.21153948992662e-07	1.05170947260169e-05	7.17113657600292e-06	Anxa2/Adm/Cd63/Ccr7/Trf/Cttn/Pip5k1c/Hpse/Cd36/Hip1/Fcer1g/Ceacam1/Ackr3/Adrb2/Cltb/Hspg2/Plk2/Itgb1/Tgfbr2/Ralb	20
GO:0007015	GO:0007015	actin filament organization	27/517	471/28891	1.39782225982999e-07	1.19052258129671e-05	8.11764108787069e-06	Cnn3/Sdc4/Rgcc/Hsp90b1/Trf/Gas7/Eps8/Marcks/Tacstd2/Coro7/Cttn/Zbed3/Zeb2/Zyx/Mical1/Tpm1/Hip1/Cdc42ep3/Myo5a/Smad3/Clasp2/Actn1/Tlr2/Shank1/Tgfbr1/Rac1/Ptger4	27
GO:0045765	GO:0045765	regulation of angiogenesis	21/517	307/28891	1.98382599618503e-07	1.65289591414843e-05	1.12703580742253e-05	Adm/Rgcc/Lgals3/Grn/Pik3cd/Sema4a/Btg1/Spry2/Cxcr4/Ppp1r15a/Ceacam1/Adrb2/Plk2/Cd40/Itgb1/Ecm1/Ngfr/Tbxa2r/Tgfbr2/Jup/Runx1	21
GO:0046632	GO:0046632	alpha-beta T cell differentiation	14/517	138/28891	2.01394052454949e-07	1.65289591414843e-05	1.12703580742253e-05	Ccr7/Fosl2/Anxa1/Sema4a/Gpr183/Il6ra/Tcf7/Gadd45g/Runx3/Tgfbr2/Sh3rf1/Runx1/Smad7/Ptger4	14
GO:0002495	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	7/517	25/28891	2.05156092343319e-07	1.65370464435311e-05	1.12758724438321e-05	H2-Ab1/H2-Aa/Cd74/H2-DMb2/Ifi30/H2-Eb1/Fcer1g	7
GO:0050867	GO:0050867	positive regulation of cell activation	26/517	454/28891	2.42905253591253e-07	1.92363914861564e-05	1.31164351154353e-05	H2-Ab1/H2-Aa/Cd74/Dpp4/H2-DMb2/Lgals1/H2-Eb1/Dusp10/Tyrobp/Ccr7/Ctsc/Cd209a/Anxa1/Pdcd1lg2/Hsph1/Gpr183/Clcf1/Fcer1g/Runx3/Cd40/Adam8/Tnfsf9/Axl/Tgfbr2/Runx1/Tlr4	26
GO:0120162	GO:0120162	positive regulation of cold-induced thermogenesis	12/517	101/28891	2.67408673544138e-07	2.08117715927282e-05	1.41906163601281e-05	Alpl/Acsl1/Cd36/Cxcr4/Gadd45g/Kdm6b/Adrb2/Sfxn5/Prkab2/Decr1/Apc/Prdm16	12
GO:0048872	GO:0048872	homeostasis of number of cells	24/517	401/28891	3.1965864861005e-07	2.44565955902672e-05	1.66758588498802e-05	Cd74/Hba-a1/Hbb-b1/Ccr7/Fosl2/Anxa1/Pik3cd/Gpr183/Ripk3/Klf13/Fech/Rassf2/Zbtb18/Fcer1g/Slc11a2/Dnase2a/Axl/Id2/Dock10/Nfix/Tnfrsf23/Napepld/Sit1/Rac1	24
GO:0002062	GO:0002062	chondrocyte differentiation	13/517	123/28891	3.40255804244926e-07	2.51789295141245e-05	1.7168386050253e-05	Creb3l2/Fosl2/Rarg/Runx3/Hspg2/Ecm1/Smad3/Tgfbr2/Runx1/Eif2ak3/Smad7/Tgfbr1/Mef2d	13
GO:1902106	GO:1902106	negative regulation of leukocyte differentiation	13/517	123/28891	3.40255804244926e-07	2.51789295141245e-05	1.7168386050253e-05	Cd74/Bmyc/Anxa1/Tmem176a/Gpr137b/Ceacam1/Runx3/Tmem176b/Pira2/Id2/Runx1/Smad7/Prdm16	13
GO:0150076	GO:0150076	neuroinflammatory response	11/517	85/28891	3.50564593930177e-07	2.55233641451745e-05	1.74032406222723e-05	Tyrobp/Ctsc/Grn/Adora2a/Jun/Zeb2/Myo5a/Itgb1/Tlr2/C1qa/Tlr4	11
GO:0002504	GO:0002504	antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	7/517	27/28891	3.6742641645605e-07	2.6326394347343e-05	1.79507910061402e-05	H2-Ab1/H2-Aa/Cd74/H2-DMb2/Ifi30/H2-Eb1/Fcer1g	7
GO:0010001	GO:0010001	glial cell differentiation	20/517	292/28891	3.78745926195282e-07	2.6713423606961e-05	1.82146889505757e-05	Nrros/Dusp10/B4galt5/Grn/Adora2a/Clcf1/Zeb2/Serpine2/Cxcr4/Nab1/Dag1/Ptpra/Id2/Nfix/Tlr2/Nab2/C1qa/Erbb3/Tenm4/Tlr4	20
GO:0006909	GO:0006909	phagocytosis	18/517	242/28891	4.36395066100482e-07	3.03059588981165e-05	2.06642781097621e-05	Cfp/Pear1/Cd300lf/Tyrobp/Ccr7/Ncf4/Anxa1/Pip5k1c/Cd36/Fcer1g/Itgb1/Axl/Prkcg/Nfix/Tlr2/Scarb1/Rac1/Tlr4	18
GO:0001659	GO:0001659	temperature homeostasis	16/517	195/28891	5.15958171605426e-07	3.52884119185893e-05	2.40615900123487e-05	Alpl/Tle3/Acsl1/Cd36/Cxcr4/Fto/Gadd45g/Kdm6b/Adrb2/Sfxn5/Prkab2/Decr1/Napepld/Apc/Prdm16/Tlr4	16
GO:0120161	GO:0120161	regulation of cold-induced thermogenesis	14/517	150/28891	5.63151730601266e-07	3.77821150993767e-05	2.57619346945357e-05	Alpl/Tle3/Acsl1/Cd36/Cxcr4/Gadd45g/Kdm6b/Adrb2/Sfxn5/Prkab2/Decr1/Apc/Prdm16/Tlr4	14
GO:0046631	GO:0046631	alpha-beta T cell activation	17/517	221/28891	5.69159022321138e-07	3.77821150993767e-05	2.57619346945357e-05	H2-Ab1/Ccr7/Fosl2/Adora2a/Anxa1/Hsph1/Sema4a/Gpr183/Il6ra/Tcf7/Gadd45g/Runx3/Tgfbr2/Sh3rf1/Runx1/Smad7/Ptger4	17
GO:1990845	GO:1990845	adaptive thermogenesis	15/517	173/28891	5.78519834900306e-07	3.78469352860867e-05	2.58061326811365e-05	Alpl/Tle3/Acsl1/Cd36/Cxcr4/Gadd45g/Kdm6b/Adrb2/Ckb/Sfxn5/Prkab2/Decr1/Apc/Prdm16/Tlr4	15
