ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0070663	GO:0070663	regulation of leukocyte proliferation	24/481	313/28891	7.04316769298018e-10	2.63606558109085e-07	2.03746372592144e-07	Tnfsf4/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Irf1/Il10/Il6st/Slamf1/Twsg1/Bcl2l1/Cd320/Cd59a/Dlg1/Il7/Casp3/Icosl/Il2ra/Ada/Bcl6/Vav3	24
GO:0045619	GO:0045619	regulation of lymphocyte differentiation	20/481	224/28891	1.37726061676518e-09	4.48586722765059e-07	3.46720954941328e-07	Tnfsf4/Ikzf3/Ctla4/Lck/Cd24a/Gimap3/Irf1/Hmgb3/Il10/Bad/Pglyrp1/Il7/Prdm1/Lag3/Prkdc/Gata3/Il2ra/Ada/Bcl6/Zfp609	20
GO:0050868	GO:0050868	negative regulation of T cell activation	16/481	138/28891	1.41647495650857e-09	4.48586722765059e-07	3.46720954941328e-07	Tnfsf4/Ctla4/Laptm5/Lax1/Cd24a/Slfn1/Gimap3/Cd86/Irf1/Twsg1/Dlg1/Casp3/Lag3/Il2ra/Bcl6/Tigit	16
GO:0050863	GO:0050863	regulation of T cell activation	27/481	411/28891	1.83361496392085e-09	5.39213771890153e-07	4.16768273378401e-07	Tnfsf4/Ctla4/Laptm5/Lax1/Lck/Cd24a/Slfn1/Gimap3/Cd86/Irf1/Il6st/Slamf1/Twsg1/Bad/Cd59a/Dlg1/Il7/Prdm1/Casp3/Lag3/Icosl/Gata3/Il2ra/Ada/Bcl6/Tigit/Zfp609	27
GO:0007159	GO:0007159	leukocyte cell-cell adhesion	28/481	447/28891	2.63153353778728e-09	7.22268238338015e-07	5.58254448051294e-07	Tnfsf4/Ctla4/Laptm5/Lax1/Lck/F11r/Cd24a/Nt5e/Slfn1/Gimap3/Cd86/Irf1/Il6st/Slamf1/Twsg1/Bad/Cd59a/Dlg1/Il7/Casp3/Lag3/Icosl/Gata3/Il2ra/Ada/Bcl6/Tigit/Zfp609	28
GO:0002764	GO:0002764	immune response-regulating signaling pathway	28/481	450/28891	3.04875326959186e-09	7.84482325681856e-07	6.06340864077382e-07	Themis2/Ctla4/Laptm5/Pigr/Lax1/Lck/Irf7/Cd86/Irf1/Rabgef1/Pik3r1/Pde4b/Rapgef1/Nfkb1/Fer/Pik3ap1/Scimp/Lacc1/Tkfc/Icosl/Gata3/Tlr8/Ada/Ddx60/Ptprs/Vav3/Rsad2/App	28
GO:0001818	GO:0001818	negative regulation of cytokine production	23/481	314/28891	3.84399802212543e-09	9.30925873946495e-07	7.19529784574934e-07	Cd200/Tnfsf4/Laptm5/Cd24a/Serpinb1a/Gimap3/Syt11/Rabgef1/Il10/Nfkb1/Slamf1/Twsg1/Cd59a/Laptm4b/Pglyrp1/Casp3/Lag3/Gata3/Tlr8/Bcl6/Ezh2/Ptprs/Tigit	23
GO:1903038	GO:1903038	negative regulation of leukocyte cell-cell adhesion	16/481	153/28891	6.44102877197912e-09	1.41330200886854e-06	1.09236719962405e-06	Tnfsf4/Ctla4/Laptm5/Lax1/Cd24a/Slfn1/Gimap3/Cd86/Irf1/Twsg1/Dlg1/Casp3/Lag3/Il2ra/Bcl6/Tigit	16
GO:1903037	GO:1903037	regulation of leukocyte cell-cell adhesion	26/481	407/28891	6.55398062951146e-09	1.41330200886854e-06	1.09236719962405e-06	Tnfsf4/Ctla4/Laptm5/Lax1/Lck/Cd24a/Slfn1/Gimap3/Cd86/Irf1/Il6st/Slamf1/Twsg1/Bad/Cd59a/Dlg1/Il7/Casp3/Lag3/Icosl/Gata3/Il2ra/Ada/Bcl6/Tigit/Zfp609	26
GO:0035458	GO:0035458	cellular response to interferon-beta	11/481	63/28891	6.8656886512924e-09	1.41330200886854e-06	1.09236719962405e-06	Tgtp2/Stat1/Ifi204/Iigp1/Irf1/Ifit3/Mndal/Tgtp1/Ifi47/Gbp6/Gm4841	11
GO:0032943	GO:0032943	mononuclear cell proliferation	25/481	389/28891	1.13963866074344e-08	2.23423446013369e-06	1.72688103830949e-06	Tnfsf4/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Irf1/Il10/Il6st/Slamf1/Twsg1/Bcl2l1/Cd320/Cd59a/Dlg1/Il7/Casp3/Icosl/Il2ra/Ada/Bcl6/Vav3/Cfb	25
GO:0022408	GO:0022408	negative regulation of cell-cell adhesion	18/481	209/28891	1.61573416517307e-08	3.02362616273524e-06	2.33701645039148e-06	Tnfsf4/Ctla4/Laptm5/Lax1/Cd24a/Slfn1/Gimap3/Cd86/Irf1/Pik3r1/Il10/Twsg1/Dlg1/Casp3/Lag3/Il2ra/Bcl6/Tigit	18
GO:0002757	GO:0002757	immune response-activating signaling pathway	26/481	440/28891	3.19271882725892e-08	5.71496670079346e-06	4.41720321043648e-06	Themis2/Ctla4/Laptm5/Lax1/Lck/Irf7/Cd86/Irf1/Rabgef1/Pik3r1/Pde4b/Rapgef1/Nfkb1/Pik3ap1/Scimp/Lacc1/Tkfc/Icosl/Gata3/Tlr8/Ada/Ddx60/Ptprs/Vav3/Rsad2/App	26
GO:0030888	GO:0030888	regulation of B cell proliferation	11/481	73/28891	3.41618069126849e-08	5.86017329414683e-06	4.52943606565994e-06	Ikzf3/Ctla4/Tnfrsf13b/Cd24a/Il10/Cd320/Il7/Casp3/Ada/Bcl6/Vav3	11
GO:0046651	GO:0046651	lymphocyte proliferation	24/481	383/28891	3.62110030542546e-08	5.96322798297465e-06	4.60908893612681e-06	Tnfsf4/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Irf1/Il10/Il6st/Slamf1/Twsg1/Cd320/Cd59a/Dlg1/Il7/Casp3/Icosl/Il2ra/Ada/Bcl6/Vav3/Cfb	24
GO:0035456	GO:0035456	response to interferon-beta	11/481	74/28891	3.95309705627132e-08	6.25957714641117e-06	4.83814267251345e-06	Tgtp2/Stat1/Ifi204/Iigp1/Irf1/Ifit3/Mndal/Tgtp1/Ifi47/Gbp6/Gm4841	11
GO:0009615	GO:0009615	response to virus	24/481	389/28891	4.85243265107858e-08	7.39906119425575e-06	5.71887091782088e-06	Tnfsf4/Stat1/Irf7/Ifit1bl1/Cd86/Irf1/Zbp1/Ifit3/Tgtp1/Nfkb1/Bcl2l1/Mov10/Tkfc/Ifit2/Isg20/Tlr8/Slfn8/Ddx60/Serinc5/Ptprs/Agbl5/Rsad2/Oasl2/Isg15	24
GO:0070661	GO:0070661	leukocyte proliferation	25/481	425/28891	6.42140549636012e-08	9.44175943875521e-06	7.29771008101377e-06	Tnfsf4/Ikzf3/Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Irf1/Il10/Il6st/Slamf1/Twsg1/Bcl2l1/Cd320/Cd59a/Dlg1/Il7/Casp3/Icosl/Il2ra/Ada/Bcl6/Vav3/Cfb	25
GO:0051251	GO:0051251	positive regulation of lymphocyte activation	23/481	367/28891	6.96579120550896e-08	9.88902151485531e-06	7.64340719210657e-06	Tnfsf4/Hmces/Lck/Cd24a/Gimap3/Cd86/Irf1/Il10/Il6st/Slamf1/Bad/Cd320/Cd59a/Il7/Hps1/Prkdc/Icosl/Gata3/Il2ra/Ada/Bcl6/Vav3/Zfp609	23
GO:0032655	GO:0032655	regulation of interleukin-12 production	10/481	63/28891	8.65428732125975e-08	1.18765669672088e-05	9.17961774462043e-06	Tnfsf4/Laptm5/Irf8/Irf1/Il10/Nfkb1/Slamf1/Scimp/Tlr8/Tigit	10
GO:0032615	GO:0032615	interleukin-12 production	10/481	65/28891	1.17669863350069e-07	1.56273170132978e-05	1.20786416606879e-05	Tnfsf4/Laptm5/Irf8/Irf1/Il10/Nfkb1/Slamf1/Scimp/Tlr8/Tigit	10
GO:0050869	GO:0050869	negative regulation of B cell activation	8/481	37/28891	1.40757640632431e-07	1.81093502026163e-05	1.39970509089421e-05	Ctla4/Laptm5/Tnfrsf13b/Cd24a/Hmgb3/Il10/Casp3/Bcl6	8
GO:0070664	GO:0070664	negative regulation of leukocyte proliferation	12/481	104/28891	1.7119194862399e-07	2.13574924995444e-05	1.65076000220198e-05	Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Il10/Twsg1/Dlg1/Casp3/Il2ra/Bcl6	12
GO:0051607	GO:0051607	defense response to virus	21/481	328/28891	1.81403596550329e-07	2.19658413822855e-05	1.69778040981934e-05	Stat1/Irf7/Ifit1bl1/Cd86/Irf1/Zbp1/Ifit3/Bcl2l1/Mov10/Tkfc/Ifit2/Isg20/Tlr8/Slfn8/Ddx60/Serinc5/Ptprs/Agbl5/Rsad2/Oasl2/Isg15	21
GO:0140546	GO:0140546	defense response to symbiont	21/481	329/28891	1.90831189248808e-07	2.24472001753526e-05	1.73498551909517e-05	Stat1/Irf7/Ifit1bl1/Cd86/Irf1/Zbp1/Ifit3/Bcl2l1/Mov10/Tkfc/Ifit2/Isg20/Tlr8/Slfn8/Ddx60/Serinc5/Ptprs/Agbl5/Rsad2/Oasl2/Isg15	21
GO:0030217	GO:0030217	T cell differentiation	21/481	339/28891	3.1321779906572e-07	3.58199355209324e-05	2.768588908116e-05	Tnfsf4/Tnfsf8/Ikzf3/Ctla4/Lck/Gimap3/Irf1/Bad/Ikzf1/Il7/Prdm1/Lag3/Prkdc/Cdk6/Gata3/Il2ra/Ada/Bcl6/Cd3g/Zfp609/Rsad2	21
GO:0007162	GO:0007162	negative regulation of cell adhesion	20/481	315/28891	4.05598488538097e-07	4.51310534408472e-05	3.48826239217828e-05	Tnfsf4/Ctla4/Laptm5/Lax1/Cd24a/Slfn1/Gimap3/Dlc1/Cd86/Cask/Irf1/Pik3r1/Il10/Twsg1/Dlg1/Casp3/Lag3/Il2ra/Bcl6/Tigit	20
GO:0030183	GO:0030183	B cell differentiation	15/481	182/28891	4.47818208436596e-07	4.85175674771965e-05	3.75001231053693e-05	Ikzf3/Laptm5/Cd24a/Irf8/Pik3r1/Hmgb3/Il10/Bad/Polm/Ikzf1/Il7/Prkdc/Ada/Bcl6/Ezh2	15
GO:0046006	GO:0046006	regulation of activated T cell proliferation	8/481	44/28891	5.83432396259198e-07	6.15895173179261e-05	4.76036743290568e-05	Tnfsf4/Laptm5/Cd24a/Cd86/Slamf1/Casp3/Icosl/Il2ra	8
GO:0050672	GO:0050672	negative regulation of lymphocyte proliferation	11/481	96/28891	6.00431427667187e-07	6.17994046926452e-05	4.77659001536291e-05	Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Il10/Twsg1/Dlg1/Casp3/Il2ra	11
GO:0032945	GO:0032945	negative regulation of mononuclear cell proliferation	11/481	97/28891	6.67200082723667e-07	6.69966522091058e-05	5.17829486540089e-05	Ctla4/Laptm5/Tnfrsf13b/Cd24a/Slfn1/Cd86/Il10/Twsg1/Dlg1/Casp3/Il2ra	11
GO:0045621	GO:0045621	positive regulation of lymphocyte differentiation	13/481	141/28891	7.344126090642e-07	7.19899217027931e-05	5.56423387769693e-05	Tnfsf4/Lck/Gimap3/Irf1/Il10/Bad/Il7/Prkdc/Gata3/Il2ra/Ada/Bcl6/Zfp609	13
GO:0050867	GO:0050867	positive regulation of cell activation	24/481	454/28891	8.12563308199223e-07	7.77982125547954e-05	6.01316739458079e-05	Tnfsf4/Hmces/Lck/Cd24a/Plek/Gimap3/Cd86/Irf1/Il10/Il6st/Slamf1/Bad/Cd320/Cd59a/Il7/Hps1/Prkdc/Icosl/Gata3/Il2ra/Ada/Bcl6/Vav3/Zfp609	24
GO:0042100	GO:0042100	B cell proliferation	12/481	123/28891	1.07124417494722e-06	9.80069392946157e-05	7.57513717161508e-05	Ikzf3/Ctla4/Tnfrsf13b/Cd24a/Il10/Cd320/Il7/Casp3/Ada/Bcl6/Vav3/Cfb	12
GO:1902106	GO:1902106	negative regulation of leukocyte differentiation	12/481	123/28891	1.07124417494722e-06	9.80069392946157e-05	7.57513717161508e-05	Tnfsf4/Ctla4/Irf1/Pik3r1/Hmgb3/Gpr137/Pglyrp1/Lag3/Gpr55/Clec2g/Cdk6/Bcl6	12
GO:0002696	GO:0002696	positive regulation of leukocyte activation	23/481	432/28891	1.22003146971153e-06	0.000109192816539182	8.4397142630159e-05	Tnfsf4/Hmces/Lck/Cd24a/Gimap3/Cd86/Irf1/Il10/Il6st/Slamf1/Bad/Cd320/Cd59a/Il7/Hps1/Prkdc/Icosl/Gata3/Il2ra/Ada/Bcl6/Vav3/Zfp609	23
GO:0048872	GO:0048872	homeostasis of number of cells	22/481	401/28891	1.2711287017397e-06	0.000111345465214093	8.60609645097229e-05	Tnfsf4/Stat1/Tnfrsf13b/Cd24a/Chst3/Gimap3/Pde4b/Ikzf1/Exoc6/Il7/Lmo2/Casp3/Pacs1/Prkdc/Cdk6/Gata3/Ccnb2/Il2ra/Ada/Bcl6/Ezh2/Isg15	22
GO:0009306	GO:0009306	protein secretion	23/481	434/28891	1.31956002152068e-06	0.00011317976267918	8.74787268652854e-05	Cd200/Cyp51/Apoe/Wls/Plek/Erp29/Rcn3/Cask/Ttn/Apbb1/Bad/Hmgn3/Slc4a8/Kcnb1/Neo1/Per2/Hps1/Cpt1a/Trpm4/Steap3/Birc5/Rsad2/Rapgef4	23
GO:0035592	GO:0035592	establishment of protein localization to extracellular region	23/481	435/28891	1.3720641478665e-06	0.000115281389729926	8.91031131901271e-05	Cd200/Cyp51/Apoe/Wls/Plek/Erp29/Rcn3/Cask/Ttn/Apbb1/Bad/Hmgn3/Slc4a8/Kcnb1/Neo1/Per2/Hps1/Cpt1a/Trpm4/Steap3/Birc5/Rsad2/Rapgef4	23
GO:0032649	GO:0032649	regulation of type II interferon production	12/481	127/28891	1.50821537356291e-06	0.000122119199572317	9.43881825823899e-05	Tnfsf4/Laptm5/Gimap3/Irf8/Pde4b/Il10/Slamf1/Pglyrp1/Gata3/Tlr8/App/Isg15	12
GO:0042129	GO:0042129	regulation of T cell proliferation	16/481	227/28891	1.51277123589705e-06	0.000122119199572317	9.43881825823899e-05	Tnfsf4/Ctla4/Laptm5/Cd24a/Slfn1/Cd86/Irf1/Il6st/Slamf1/Twsg1/Cd59a/Dlg1/Casp3/Icosl/Il2ra/Bcl6	16
GO:0071692	GO:0071692	protein localization to extracellular region	23/481	441/28891	1.7293760964699e-06	0.000136920026714742	0.000105828014972237	Cd200/Cyp51/Apoe/Wls/Plek/Erp29/Rcn3/Cask/Ttn/Apbb1/Bad/Hmgn3/Slc4a8/Kcnb1/Neo1/Per2/Hps1/Cpt1a/Trpm4/Steap3/Birc5/Rsad2/Rapgef4	23
GO:1903707	GO:1903707	negative regulation of hemopoiesis	12/481	129/28891	1.78076454068819e-06	0.00013832844554742	0.000106916607874884	Tnfsf4/Ctla4/Irf1/Pik3r1/Hmgb3/Gpr137/Pglyrp1/Lag3/Gpr55/Clec2g/Cdk6/Bcl6	12
GO:0002367	GO:0002367	cytokine production involved in immune response	14/481	178/28891	1.88800002549077e-06	0.000143942520461954	0.000111255829962156	Tnfsf4/Laptm5/Gimap3/Rabgef1/Stard7/Il10/Slamf1/Scimp/Dlg1/Lacc1/Trpm4/Gata3/Bcl6/Rsad2	14
GO:0097284	GO:0097284	hepatocyte apoptotic process	6/481	24/28891	2.15399451367532e-06	0.000161236280232751	0.000124622495977809	Krt8/Stk3/Krt18/Bcl2l1/Pik3cg/Igf1r	6
GO:0050798	GO:0050798	activated T cell proliferation	8/481	52/28891	2.20474381006233e-06	0.000162088040464761	0.000125280837177038	Tnfsf4/Laptm5/Cd24a/Cd86/Slamf1/Casp3/Icosl/Il2ra	8
GO:0002768	GO:0002768	immune response-regulating cell surface receptor signaling pathway	18/481	294/28891	2.57021637511348e-06	0.000185641768707758	0.000143485948328127	Themis2/Ctla4/Laptm5/Pigr/Lax1/Lck/Rabgef1/Pik3r1/Pde4b/Rapgef1/Nfkb1/Fer/Pik3ap1/Scimp/Icosl/Gata3/Ada/Vav3	18
GO:0045577	GO:0045577	regulation of B cell differentiation	7/481	38/28891	2.74095318508295e-06	0.000194560418327354	0.000150379337177963	Ikzf3/Cd24a/Hmgb3/Il10/Bad/Il7/Bcl6	7
GO:0032946	GO:0032946	positive regulation of mononuclear cell proliferation	14/481	186/28891	3.16911921291278e-06	0.000217279277035286	0.000167939162261143	Tnfsf4/Cd24a/Cd86/Il6st/Slamf1/Bcl2l1/Cd320/Cd59a/Il7/Icosl/Il2ra/Ada/Bcl6/Vav3	14
GO:1902107	GO:1902107	positive regulation of leukocyte differentiation	15/481	213/28891	3.2381873292868e-06	0.000217279277035286	0.000167939162261143	Car2/Tnfsf4/Lck/Gimap3/Irf1/Il10/Bad/Ikzf1/Il7/Prkdc/Gata3/Il2ra/Ada/Bcl6/Zfp609	15
GO:1903708	GO:1903708	positive regulation of hemopoiesis	15/481	213/28891	3.2381873292868e-06	0.000217279277035286	0.000167939162261143	Car2/Tnfsf4/Lck/Gimap3/Irf1/Il10/Bad/Ikzf1/Il7/Prkdc/Gata3/Il2ra/Ada/Bcl6/Zfp609	15
GO:0002440	GO:0002440	production of molecular mediator of immune response	22/481	425/28891	3.27211930439343e-06	0.000217279277035286	0.000167939162261143	Tnfsf4/Laptm5/Lax1/Hmces/Gimap3/Cd86/Rabgef1/Stard7/Il10/Fcgr4/Slamf1/Scimp/Polm/Dlg1/Lacc1/Prkdc/Icosl/Trpm4/Gata3/Bcl6/Ezh2/Rsad2	22
GO:0045589	GO:0045589	regulation of regulatory T cell differentiation	7/481	40/28891	3.93444460131387e-06	0.000255516126638742	0.000197493128831397	Tnfsf4/Ctla4/Lck/Gimap3/Irf1/Lag3/Bcl6	7
GO:0014074	GO:0014074	response to purine-containing compound	11/481	116/28891	3.97207483723088e-06	0.000255516126638742	0.000197493128831397	Nt5e/Pik3r1/Inpp5k/Gnal/Rapgef1/Asph/Cib2/Trpm4/Ryr1/Ada/Pik3cg	11
GO:0045580	GO:0045580	regulation of T cell differentiation	14/481	190/28891	4.06265550461109e-06	0.000257322349422829	0.000198889191748005	Tnfsf4/Ctla4/Lck/Gimap3/Irf1/Bad/Il7/Prdm1/Lag3/Gata3/Il2ra/Ada/Bcl6/Zfp609	14
GO:0002260	GO:0002260	lymphocyte homeostasis	10/481	95/28891	4.25718775998799e-06	0.000265558212240463	0.000205254842080442	Tnfsf4/Tnfrsf13b/Cd24a/Chst3/Gimap3/Casp3/Pacs1/Ccnb2/Il2ra/Ada	10
GO:0032609	GO:0032609	type II interferon production	12/481	141/28891	4.5309575215334e-06	0.00027491155547107	0.000212484213642802	Tnfsf4/Laptm5/Gimap3/Irf8/Pde4b/Il10/Slamf1/Pglyrp1/Gata3/Tlr8/App/Isg15	12
GO:0042104	GO:0042104	positive regulation of activated T cell proliferation	6/481	27/28891	4.54068150887364e-06	0.00027491155547107	0.000212484213642802	Tnfsf4/Cd24a/Cd86/Slamf1/Icosl/Il2ra	6
GO:0032689	GO:0032689	negative regulation of type II interferon production	7/481	41/28891	4.67682411823391e-06	0.000277004057465813	0.000214101547043492	Tnfsf4/Laptm5/Gimap3/Il10/Slamf1/Pglyrp1/Gata3	7
GO:0050870	GO:0050870	positive regulation of T cell activation	17/481	277/28891	4.70980908977579e-06	0.000277004057465813	0.000214101547043492	Tnfsf4/Lck/Cd24a/Gimap3/Cd86/Irf1/Il6st/Slamf1/Bad/Cd59a/Il7/Icosl/Gata3/Il2ra/Ada/Bcl6/Zfp609	17
GO:0002697	GO:0002697	regulation of immune effector process	23/481	473/28891	5.52605959233831e-06	0.000320433624530378	0.000247669060750759	Tnfsf4/Laptm5/Hmces/Cd24a/Gimap3/Cd86/Irf1/Rabgef1/Rapgef1/Il10/Fer/Slamf1/Scimp/Cd59a/Pglyrp1/Lacc1/Lag3/Prkdc/Trpm4/Gata3/Ddx60/Bcl6/Rsad2	23
GO:0002218	GO:0002218	activation of innate immune response	17/481	281/28891	5.69687071108415e-06	0.000322576459433541	0.000249325297385064	Irf7/Ifi204/Cd86/Irf1/Zbp1/Mndal/Pik3r1/Pik3ap1/Scimp/Lacc1/Tkfc/Prkdc/Tlr8/Ddx60/Ptprs/Rsad2/App	17
GO:0045088	GO:0045088	regulation of innate immune response	23/481	474/28891	5.71971861516845e-06	0.000322576459433541	0.000249325297385064	Apoe/Irf7/Ifi204/Serpinb1a/Gimap3/Cd86/Irf1/Zbp1/Mndal/Pik3r1/Pik3ap1/Scimp/Lacc1/Tkfc/Lag3/Prkdc/Tlr8/Ddx60/Ptprs/Aurkb/Rsad2/App/Isg15	23
GO:0042832	GO:0042832	defense response to protozoan	7/481	43/28891	6.51370036041555e-06	0.000362390599781498	0.000280098381074484	Tgtp2/Gbp10/Iigp1/Irf8/Tgtp1/Il10/Gbp6	7
GO:0050727	GO:0050727	regulation of inflammatory response	21/481	411/28891	6.6603204183603e-06	0.000365607188831858	0.000282584542101097	Cd200/Tnfsf4/Apoe/Cd24a/Nt5e/Syt11/F12/Zbp1/Rabgef1/Il10/Nfkb1/Pik3ap1/Pglyrp1/Lacc1/Gata3/Il2ra/Ada/Bcl6/Pik3cg/Il17rb/App	21
GO:0019221	GO:0019221	cytokine-mediated signaling pathway	22/481	450/28891	8.10151248918851e-06	0.000429078371470406	0.000331642590275249	Krt8/Krt18/Laptm5/Stat1/Irf7/Cd24a/Iigp1/Il5ra/Irf1/Zbp1/Rabgef1/Fer/Il6st/Robo1/Bad/Ccrl2/Il7/Vrk2/Il2rb/Il2ra/Oasl2/Isg15	22
GO:0045582	GO:0045582	positive regulation of T cell differentiation	11/481	125/28891	8.19508100261111e-06	0.000429078371470406	0.000331642590275249	Tnfsf4/Lck/Gimap3/Irf1/Bad/Il7/Gata3/Il2ra/Ada/Bcl6/Zfp609	11
GO:0042130	GO:0042130	negative regulation of T cell proliferation	9/481	81/28891	8.23257163246055e-06	0.000429078371470406	0.000331642590275249	Ctla4/Laptm5/Cd24a/Slfn1/Cd86/Twsg1/Dlg1/Casp3/Il2ra	9
GO:0070665	GO:0070665	positive regulation of leukocyte proliferation	14/481	202/28891	8.23346887203355e-06	0.000429078371470406	0.000331642590275249	Tnfsf4/Cd24a/Cd86/Il6st/Slamf1/Bcl2l1/Cd320/Cd59a/Il7/Icosl/Il2ra/Ada/Bcl6/Vav3	14
GO:0044282	GO:0044282	small molecule catabolic process	19/481	353/28891	8.78663768578196e-06	0.000452182341904554	0.000349500075317354	Apoe/Lpin2/Hdc/Xdh/Fah/Asrgl1/Hsd3b7/Bad/Acadvl/Scly/Slc16a3/Tkfc/Galk1/Cpt1a/Afmid/Dcxr/Ada/Acoxl/Cyp39a1	19
GO:0045066	GO:0045066	regulatory T cell differentiation	7/481	45/28891	8.9133883216758e-06	0.00045304221876962	0.000350164690012033	Tnfsf4/Ctla4/Lck/Gimap3/Irf1/Lag3/Bcl6	7
GO:0022409	GO:0022409	positive regulation of cell-cell adhesion	19/481	354/28891	9.14467038407856e-06	0.000459129365503066	0.000354869558036836	Tnfsf4/Lck/F11r/Cd24a/Gimap3/Cd86/Irf1/Il6st/Slamf1/Bad/Cd59a/Il7/Icosl/Gata3/Il2ra/Ada/Bcl6/Myo10/Zfp609	19
